Date,Adj Close
2014-06-02,34.0
2014-06-03,35.0
2014-06-04,36.5
2014-06-05,38.29999923706055
2014-06-09,35.79999923706055
2014-06-10,35.099998474121094
2014-06-11,36.0
2014-06-12,36.0
2014-06-13,35.400001525878906
2014-06-16,34.0
2014-06-17,35.5
2014-06-18,35.0
2014-06-19,36.5
2014-06-23,36.79999923706055
2014-06-24,37.0
2014-06-25,35.79999923706055
2014-06-26,35.0
2014-06-27,35.0
2014-06-30,34.5
2014-07-01,34.70000076293945
2014-07-02,34.0
2014-07-03,36.0
2014-07-04,40.5
2014-07-07,39.5
2014-07-08,39.5
2014-07-09,40.5
2014-07-10,39.5
2014-07-11,40.20000076293945
2014-07-14,40.0
2014-07-15,40.900001525878906
2014-07-16,40.79999923706055
2014-07-17,40.20000076293945
2014-07-18,40.5
2014-07-21,40.099998474121094
2014-07-22,40.20000076293945
2014-07-23,40.599998474121094
2014-07-24,40.599998474121094
2014-07-25,41.0
2014-07-28,41.0
2014-07-29,41.099998474121094
2014-07-30,41.0
2014-07-31,40.900001525878906
2014-08-01,40.70000076293945
2014-08-04,41.099998474121094
2014-08-05,45.0
2014-08-06,44.29999923706055
2014-08-07,42.400001525878906
2014-08-08,40.29999923706055
2014-08-11,40.70000076293945
2014-08-12,40.400001525878906
2014-08-13,40.400001525878906
2014-08-14,42.099998474121094
2014-08-15,42.900001525878906
2014-08-18,44.099998474121094
2014-08-19,45.0
2014-08-20,45.5
2014-08-21,45.0
2014-08-22,43.099998474121094
2014-08-25,44.0
2014-08-26,44.0
2014-08-27,48.5
2014-08-28,53.25
2014-08-29,56.25
2014-09-01,58.75
2014-09-02,59.25
2014-09-03,60.75
2014-09-04,60.75
2014-09-05,61.0
2014-09-08,67.25
2014-09-09,66.0
2014-09-10,67.0
2014-09-11,67.0
2014-09-12,66.0
2014-09-15,65.5
2014-09-16,63.5
2014-09-17,62.5
2014-09-18,62.25
2014-09-19,63.0
2014-09-22,62.5
2014-09-23,62.5
2014-09-24,60.25
2014-09-25,57.75
2014-09-26,55.75
2014-09-29,55.75
2014-09-30,54.25
2014-10-01,54.75
2014-10-02,54.5
2014-10-03,55.0
2014-10-06,54.75
2014-10-07,58.5
2014-10-08,62.75
2014-10-09,63.0
2014-10-10,62.0
2014-10-13,59.0
2014-10-14,59.0
2014-10-15,59.25
2014-10-16,59.5
2014-10-17,60.0
2014-10-20,60.0
2014-10-21,61.75
2014-10-22,62.5
2014-10-23,66.0
2014-10-24,67.75
2014-10-27,64.75
2014-10-28,69.5
2014-10-29,70.0
2014-10-30,71.0
2014-10-31,70.5
2014-11-03,72.0
2014-11-04,75.75
2014-11-05,76.0
2014-11-06,76.5
2014-11-07,75.25
2014-11-10,75.0
2014-11-11,73.25
2014-11-12,72.0
2014-11-13,72.0
2014-11-14,73.25
2014-11-17,74.25
2014-11-18,75.0
2014-11-19,75.25
2014-11-20,73.0
2014-11-21,72.75
2014-11-24,72.75
2014-11-25,73.0
2014-11-26,71.5
2014-11-27,71.5
2014-11-28,73.5
2014-12-01,73.0
2014-12-02,74.0
2014-12-03,73.25
2014-12-04,72.25
2014-12-05,72.75
2014-12-08,73.0
2014-12-09,70.5
2014-12-10,70.5
2014-12-11,69.0
2014-12-12,69.5
2014-12-15,69.25
2014-12-16,68.0
2014-12-17,70.0
2014-12-18,71.0
2014-12-19,71.75
2014-12-22,72.25
2014-12-23,72.0
2014-12-29,74.5
2014-12-30,76.0
2015-01-02,78.25
2015-01-05,81.5
2015-01-07,79.5
2015-01-08,79.5
2015-01-09,77.25
2015-01-12,78.5
2015-01-13,78.0
2015-01-14,78.0
2015-01-15,77.0
2015-01-16,76.0
2015-01-19,78.0
2015-01-20,78.0
2015-01-21,77.5
2015-01-22,77.0
2015-01-23,78.0
2015-01-26,78.0
2015-01-27,77.25
2015-01-28,78.0
2015-01-29,78.5
2015-01-30,78.0
2015-02-02,77.0
2015-02-03,77.75
2015-02-04,76.75
2015-02-05,76.5
2015-02-06,78.0
2015-02-09,77.0
2015-02-10,74.0
2015-02-11,72.5
2015-02-12,71.0
2015-02-13,68.25
2015-02-16,73.0
2015-02-17,72.0
2015-02-18,71.5
2015-02-19,71.5
2015-02-20,71.5
2015-02-23,71.0
2015-02-24,70.5
2015-02-25,70.0
2015-02-26,70.25
2015-02-27,70.5
2015-03-02,67.75
2015-03-03,66.0
2015-03-04,65.0
2015-03-05,66.75
2015-03-06,67.0
2015-03-09,65.0
2015-03-10,63.5
2015-03-11,65.75
2015-03-12,66.0
2015-03-13,66.0
2015-03-16,67.25
2015-03-17,66.75
2015-03-18,66.75
2015-03-19,65.5
2015-03-20,66.0
2015-03-23,66.5
2015-03-24,68.5
2015-03-25,71.0
2015-03-26,70.75
2015-03-27,71.0
2015-03-30,70.0
2015-03-31,70.0
2015-04-01,71.0
2015-04-02,71.0
2015-04-07,74.5
2015-04-08,75.0
2015-04-09,76.0
2015-04-10,76.25
2015-04-13,79.0
2015-04-14,79.0
2015-04-15,80.0
2015-04-16,80.0
2015-04-17,77.75
2015-04-20,79.0
2015-04-21,78.75
2015-04-22,78.5
2015-04-23,78.5
2015-04-24,77.75
2015-04-27,78.5
2015-04-28,78.25
2015-04-29,74.75
2015-04-30,74.0
2015-05-04,72.75
2015-05-05,71.25
2015-05-06,69.5
2015-05-07,69.5
2015-05-08,69.0
2015-05-11,70.0
2015-05-12,70.5
2015-05-13,71.25
2015-05-15,72.5
2015-05-18,72.5
2015-05-19,73.0
2015-05-20,73.0
2015-05-21,73.0
2015-05-22,72.25
2015-05-25,73.5
2015-05-26,71.75
2015-05-27,70.5
2015-05-28,72.0
2015-05-29,73.25
2015-06-01,73.0
2015-06-02,71.75
2015-06-03,69.5
2015-06-04,69.5
2015-06-05,69.75
2015-06-08,70.0
2015-06-09,69.75
2015-06-10,69.25
2015-06-11,69.5
2015-06-12,68.5
2015-06-15,67.5
2015-06-16,69.75
2015-06-17,69.5
2015-06-18,67.5
2015-06-22,66.25
2015-06-23,66.75
2015-06-24,69.5
2015-06-25,69.25
2015-06-26,69.0
2015-06-29,66.75
2015-06-30,69.5
2015-07-01,70.0
2015-07-02,69.5
2015-07-03,68.75
2015-07-06,69.0
2015-07-07,68.25
2015-07-08,68.5
2015-07-09,69.0
2015-07-10,69.25
2015-07-13,68.75
2015-07-14,68.5
2015-07-15,68.5
2015-07-16,67.5
2015-07-17,65.0
2015-07-20,64.5
2015-07-21,65.75
2015-07-22,65.75
2015-07-23,65.5
2015-07-24,64.5
2015-07-27,64.25
2015-07-28,65.75
2015-07-29,66.0
2015-07-30,66.25
2015-07-31,68.0
2015-08-03,68.0
2015-08-04,67.5
2015-08-05,63.5
2015-08-06,62.5
2015-08-07,63.0
2015-08-10,64.0
2015-08-11,64.0
2015-08-12,64.0
2015-08-13,64.25
2015-08-14,64.25
2015-08-17,64.0
2015-08-18,63.0
2015-08-19,61.0
2015-08-20,59.0
2015-08-21,60.0
2015-08-24,59.75
2015-08-25,60.25
2015-08-26,60.0
2015-08-27,60.5
2015-08-28,59.75
2015-08-31,60.0
2015-09-01,58.5
2015-09-02,56.0
2015-09-03,58.5
2015-09-04,57.5
2015-09-07,58.5
2015-09-08,57.75
2015-09-09,59.25
2015-09-10,59.0
2015-09-11,62.75
2015-09-14,60.5
2015-09-15,59.0
2015-09-16,59.0
2015-09-17,58.0
2015-09-18,57.25
2015-09-21,59.0
2015-09-22,59.0
2015-09-23,59.5
2015-09-24,56.75
2015-09-25,58.0
2015-09-28,56.75
2015-09-29,57.5
2015-09-30,57.5
2015-10-01,57.0
2015-10-02,57.5
2015-10-05,57.0
2015-10-06,57.0
2015-10-07,56.0
2015-10-08,55.75
2015-10-09,56.25
2015-10-12,55.75
2015-10-13,55.5
2015-10-14,53.5
2015-10-15,54.0
2015-10-16,53.25
2015-10-19,53.25
2015-10-20,54.5
2015-10-21,55.5
2015-10-22,54.0
2015-10-23,52.5
2015-10-26,53.0
2015-10-27,52.75
2015-10-28,52.0
2015-10-29,53.0
2015-10-30,56.25
2015-11-02,58.0
2015-11-03,56.75
2015-11-04,71.5
2015-11-05,76.0
2015-11-06,75.75
2015-11-09,76.5
2015-11-10,77.0
2015-11-11,88.5
2015-11-12,87.5
2015-11-13,89.25
2015-11-17,89.5
2015-11-18,99.0
2015-11-19,95.5
2015-11-20,96.0
2015-11-24,95.5
2015-11-25,96.0
2015-11-26,98.0
2015-11-27,97.75
2015-11-30,104.0
2015-12-01,110.5
2015-12-02,112.0
2015-12-03,112.5
2015-12-04,108.75
2015-12-08,108.5
2015-12-09,110.5
2015-12-10,109.5
2015-12-11,105.25
2015-12-15,106.5
2015-12-16,106.5
2015-12-17,114.5
2015-12-18,113.5
2015-12-22,115.5
2015-12-23,118.5
2015-12-28,126.75
2015-12-29,127.0
2015-12-30,125.5
2016-01-05,122.0
2016-01-07,116.0
2016-01-08,120.0
2016-01-11,120.0
2016-01-12,119.75
2016-01-13,118.0
2016-01-14,113.5
2016-01-15,105.5
2016-01-18,106.75
2016-01-19,106.0
2016-01-20,106.75
2016-01-21,103.0
2016-01-22,113.5
2016-01-25,113.5
2016-01-26,114.0
2016-01-27,113.5
2016-01-28,114.5
2016-01-29,125.5
2016-02-01,120.0
2016-02-02,119.0
2016-02-03,116.75
2016-02-04,116.0
2016-02-05,115.25
2016-02-08,108.25
2016-02-09,104.75
2016-02-10,120.0
2016-02-11,135.0
2016-02-12,129.25
2016-02-15,131.0
2016-02-16,137.0
2016-02-17,139.0
2016-02-18,139.0
2016-02-19,137.0
2016-02-22,139.75
2016-02-23,137.0
2016-02-24,138.0
2016-02-25,143.5
2016-02-26,146.0
2016-02-29,149.75
2016-03-01,149.75
2016-03-02,148.25
2016-03-03,143.75
2016-03-04,144.0
2016-03-07,140.0
2016-03-08,135.0
2016-03-09,135.75
2016-03-10,135.0
2016-03-11,140.0
2016-03-14,138.0
2016-03-15,137.0
2016-03-16,136.0
2016-03-17,134.5
2016-03-18,128.0
2016-03-21,129.5
2016-03-22,133.75
2016-03-23,135.75
2016-03-24,138.0
2016-03-29,138.0
2016-03-30,135.0
2016-03-31,136.25
2016-04-01,136.75
2016-04-04,139.0
2016-04-05,143.5
2016-04-06,143.5
2016-04-07,143.0
2016-04-08,146.5
2016-04-11,149.25
2016-04-12,145.0
2016-04-13,149.25
2016-04-14,145.0
2016-04-15,141.0
2016-04-18,146.0
2016-04-19,149.5
2016-04-20,147.5
2016-04-21,155.0
2016-04-22,152.0
2016-04-25,144.0
2016-04-26,148.5
2016-04-27,138.25
2016-04-28,141.0
2016-04-29,138.5
2016-05-02,139.0
2016-05-03,138.0
2016-05-04,140.0
2016-05-06,137.25
2016-05-09,138.25
2016-05-10,139.0
2016-05-11,136.0
2016-05-12,134.0
2016-05-13,133.0
2016-05-16,133.5
2016-05-17,131.75
2016-05-18,131.5
2016-05-19,134.0
